Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Difference,Amount Differences
2009052959613,2009-05-21 00:00:00,2009-05-08 00:00:00,DEN,Denver International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Kitchen Utensils -Pots; Pans; Knives (heavy aluminum; cast iron; etc.),34.95,Denied,0.0,Deny,13.0,34.95
2004091362810,2004-08-27 00:00:00,2004-04-09 00:00:00,MIA,Miami International Airport,,Passenger Property Loss,Checkpoint,Jewelry - Fine,1500.0,Denied,0.0,Deny,140.0,1500.0
2009110965248,2009-11-02 00:00:00,2009-09-28 00:00:00,COS,Colorado Springs Municipal,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry - Fine,460.0,Denied,0.0,Deny,35.0,460.0
2004061055456,2004-05-27 00:00:00,2004-05-05 00:00:00,OAK,Metropolitan Oakland International,UAL,Property Damage,Checkpoint,Luggage (all types including footlockers),1568.0,Denied,0.0,Deny,22.0,1568.0
2008043043609,2008-04-25 00:00:00,2008-02-21 00:00:00,HNL,Honolulu International Airport,Aloha Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),20.0,Approved,20.0,Approve in Full,64.0,0.0
2006042505189,2006-04-14 00:00:00,2006-04-09 00:00:00,BUR,Bob Hope,,Passenger Property Loss,Checkpoint,Other,280.31,Denied,0.0,Deny,5.0,280.31
1117018M,2003-11-17 00:00:00,2003-10-01 00:00:00,,,,Property Damage,Checked Baggage,Luggage (all types including footlockers),7.5,Settled,3.25,Settle,47.0,4.25
2009082162815,2009-08-18 00:00:00,2009-08-15 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),90.0,Denied,0.0,Deny,3.0,90.0
2006082411527,2006-08-21 00:00:00,2006-08-06 00:00:00,OKC,Will Rogers World,Continental Airlines,Property Damage,Checkpoint,GPS - Global Positioning System,109.95,Approved,109.95,Approve in Full,15.0,0.0
2004062156581,2004-05-27 00:00:00,2004-05-15 00:00:00,LAS,McCarran International,America West,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),107.71,Canceled,,,12.0,
